Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,ontology,gene_count,neglogpadj,color,cluster
GO_Cellular_Component_2021,focal adhesion (GO:0005925),9/387,0.0026268303270724,0.0439994079784639,0,0,3.288078351908139,19.537687119881888,CNN1;NRP1;GJA1;FLRT2;SYNPO2;ITGA8;PGM5;SHROOM4;LIMS2,CC,9,1.3565531670005406,#31a354,1
GO_Cellular_Component_2021,collagen-containing extracellular matrix (GO:0062023),9/380,0.0023250547876526,0.0439994079784639,0,0,3.3513219017032747,20.32245514075221,CPA3;ACAN;ANGPT1;COL14A1;COL21A1;HMCN1;A2M;TPSAB1;SULF1,CC,9,1.3565531670005406,#31a354,1
GO_Biological_Process_2021,cell communication by electrical coupling involved in cardiac conduction (GO:0086064),3/17,0.00026029567201271784,0.0437668579941384,0,0,28.91545189504373,238.6592447686072,GJA1;ATP1B2;SLC8A1,BP,3,1.3588546301012359,#2171b5,1
GO_Biological_Process_2021,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881),3/17,0.00026029567201271784,0.0437668579941384,0,0,28.91545189504373,238.6592447686072,CASQ2;HRC;SLC8A1,BP,3,1.3588546301012359,#2171b5,1
GO_Biological_Process_2021,kidney development (GO:0001822),5/70,0.0001814638757487132,0.042716596351247,0,0,10.496021220159152,90.41749151970242,ROBO2;SOX17;CYP4A11;ITGA8;SULF1,BP,5,1.3694033590872003,#2171b5,1
GO_Cellular_Component_2021,intercalated disc (GO:0014704),3/31,0.0015933459854505,0.0355847270083947,0,0,14.447521865889213,93.06976677408854,GJA1;PGM5;SLC8A1,CC,3,1.4487363615555482,#31a354,1
GO_Biological_Process_2021,regulation of cell communication by electrical coupling (GO:0010649),3/13,0.00011191503236471256,0.0329309982733166,0,0,40.48979591836735,368.36687548037327,CASQ2;HRC;SLC8A1,BP,3,1.4823951038455927,#2171b5,1
GO_Cellular_Component_2021,myosin filament (GO:0032982),2/6,0.0008217415222286749,0.0220226727957284,0,0,67.04729729729729,476.3096763717786,MYH8;ACTG2,CC,2,1.657129973738753,#31a354,1
GO_Cellular_Component_2021,cell projection membrane (GO:0031253),5/92,0.0006461973731023195,0.0216476119989277,0,0,7.833135156559651,57.52972147227406,SLC22A12;CUBN;SLC6A19;ATP1B2;LRP2,CC,5,1.6645900047558193,#31a354,1
GO_Cellular_Component_2021,integral component of plasma membrane (GO:0005887),24/1454,0.0002086161369502961,0.0093181874504465,0,0,2.453546453546453,20.793842162912178,SLC6A19;CALCRL;SLC10A2;NPY1R;GRIK3;KCNAB1;ATP1B2;TACR1;SLC6A1;LRRC55;TMEM150C;SLC8A1;ADCY5;SELP;GJA1;FLRT2;ADAM23;CD226;MS4A2;CD34;MS4A1;EPHA3;TRPM3;SLC17A4,CC,24,2.0306685572623735,#31a354,1
GO_Cellular_Component_2021,axon (GO:0030424),8/204,0.00015589321894813758,0.0093181874504465,0,0,5.64932451853981,49.52389542674897,NRP1;ROBO4;FEZ1;NTF3;GRIK3;LRP2;SLC6A1;SLC8A1,CC,8,2.0306685572623735,#31a354,1
GO_Cellular_Component_2021,brush border membrane (GO:0031526),4/37,0.00016558067334557276,0.0093181874504465,0,0,16.452469904524698,143.23605900544248,SLC22A12;CUBN;SLC6A19;LRP2,CC,4,2.0306685572623735,#31a354,1
GO_Biological_Process_2021,coronary vasculature morphogenesis (GO:0060977),3/8,2.2525852057802e-05,0.0088376426240109,0,0,81.0,866.7686011663709,NRP1;SPRED1;LRP2,BP,3,2.053663564389261,#2171b5,1
GO_Biological_Process_2021,muscle contraction (GO:0006936),8/129,5.883018989677149e-06,0.0047869788639992,0,0,9.185892212780818,110.62974625073448,SGCA;HRC;LMOD1;CASQ2;MYH8;MYH11;ACTG2;SLC8A1,BP,8,2.3199384900590543,#2171b5,1
GO_Biological_Process_2021,regulation of relaxation of cardiac muscle (GO:1901897),3/6,8.13420367714399e-06,0.0047869788639992,0,0,135.01360544217687,1582.2828639915008,PLN;HRC;PDE4B,BP,3,2.3199384900590543,#2171b5,1
GO_Molecular_Function_2021,peptidase inhibitor activity (GO:0030414),4/40,0.00022515997735880316,0.0177125848855591,0,0,15.079147640791476,126.64522821192983,ITIH4;SPINK1;SLPI;PI3,MF,4,1.7517180554323266,#fd8d3c,2
GO_Biological_Process_2021,regulation of fibrinolysis (GO:0051917),3/13,0.00011191503236471256,0.0175846494603054,0,0,40.48979591836735,368.36687548037327,APOH;SERPINE1;F2,BP,3,1.7548662846670515,#2171b5,2
GO_Biological_Process_2021,negative regulation of peptidase activity (GO:0010466),5/63,0.00010991328252561564,0.0175846494603054,0,0,11.76694411414982,107.26533088914364,SERPINA3;LRP1;SERPINE1;SPOCK1;SERPINA4,BP,5,1.7548662846670515,#2171b5,2
GO_Biological_Process_2021,negative regulation of fibrinolysis (GO:0051918),3/9,3.360292958922156e-05,0.0100015732696525,0,0,67.49659863945578,695.2755309975752,APOH;SERPINE1;F2,BP,3,1.999931679141353,#2171b5,2
GO_Biological_Process_2021,platelet degranulation (GO:0002576),7/125,4.4183126127527056e-05,0.0100015732696525,0,0,8.185610999170322,82.07849342647776,LGALS3BP;SERPINA3;ITIH4;ACTN2;APOH;SERPINE1;SERPINA4,BP,7,1.999931679141353,#2171b5,2
GO_Biological_Process_2021,regulated exocytosis (GO:0045055),9/180,8.86134418896121e-06,0.0100015732696525,0,0,7.345651362448675,85.45792763323706,LGALS3BP;SERPINA3;ITIH4;SYT12;ACTN2;APOH;SERPINE1;SYT8;SERPINA4,BP,9,1.999931679141353,#2171b5,2
GO_Biological_Process_2021,positive regulation of coagulation (GO:0050820),3/10,4.774020653772085e-05,0.0100015732696525,0,0,57.85131195335277,575.6053165227497,APOH;SERPINE1;F2,BP,3,1.999931679141353,#2171b5,2
GO_Biological_Process_2021,positive regulation of hemostasis (GO:1900048),3/10,4.774020653772085e-05,0.0100015732696525,0,0,57.85131195335277,575.6053165227497,APOH;SERPINE1;F2,BP,3,1.999931679141353,#2171b5,2
GO_Biological_Process_2021,acute inflammatory response (GO:0002526),4/27,4.663782862002e-05,0.0100015732696525,0,0,23.617629541393686,235.54094748117515,ITIH4;HP;SAA1;LBP,BP,4,1.999931679141353,#2171b5,2
GO_Cellular_Component_2021,collagen-containing extracellular matrix (GO:0062023),11/380,0.00014220459453668358,0.0042661378361005,0,0,4.1779454485192336,37.00925907668808,LGALS3BP;SERPINA3;ITIH4;SLPI;APOH;SERPINE1;SEMA3B;TGFBI;F2;MMP9;CTHRC1,CC,11,2.369965116891559,#31a354,2
GO_Cellular_Component_2021,secretory granule lumen (GO:0034774),11/316,2.729881129196773e-05,0.0010919524516787,0,0,5.071234815426347,53.29191997825524,C3;LGALS3BP;SERPINA3;ITIH4;LRG1;SLPI;ACTN2;APOH;SERPINE1;HP;SERPINA4,CC,11,2.961796272275194,#31a354,2
GO_Cellular_Component_2021,platelet dense granule (GO:0042827),4/21,1.647117634774819e-05,0.0009882705808648914,0,0,31.96293311845286,352.0365040906503,LGALS3BP;ITIH4;APOH;SERPINA4,CC,4,3.005124132651083,#31a354,2
GO_Molecular_Function_2021,serine-type endopeptidase inhibitor activity (GO:0004867),6/60,5.772115138862121e-06,0.0006811095863857303,0,0,15.274691358024691,184.2505363477727,SERPINA3;SLPI;SERPINE1;SPOCK1;PI3;SERPINA4,MF,6,3.1667830071272793,#fd8d3c,2
GO_Cellular_Component_2021,platelet dense granule lumen (GO:0031089),4/14,2.869775809397004e-06,0.0003443730971276405,0,0,54.35616438356164,693.6540511378128,LGALS3BP;ITIH4;APOH;SERPINA4,CC,4,3.462970783540615,#31a354,2
GO_Molecular_Function_2021,endopeptidase inhibitor activity (GO:0004866),9/115,2.1100361626029726e-07,4.9796853437430144e-05,0,0,11.889201124046568,182.75355398287692,SERPINA3;ITIH4;SPINK1;SLPI;SERPINE1;RARRES1;SPOCK1;PI3;SERPINA4,MF,9,4.302798098564267,#fd8d3c,2
GO_Molecular_Function_2021,N-acyltransferase activity (GO:0016410),4/39,0.00020382567884882165,0.0063185960443134,0,0,15.510763209393346,131.8142727907378,NAT8B;GLYATL1;NAT8;GLYAT,MF,4,2.1993794087337197,#fd8d3c,3
GO_Molecular_Function_2021,CoA-ligase activity (GO:0016405),3/14,0.00014165489659109397,0.0061478225120534,0,0,36.80705009276438,326.1883756621657,ACSM2A;SLC27A2;ACSM2B,MF,3,2.2112786790949475,#fd8d3c,3
GO_Molecular_Function_2021,acid-thiol ligase activity (GO:0016878),3/13,0.00011191503236471256,0.0060713905057856,0,0,40.48979591836735,368.36687548037327,ACSM2A;SLC27A2;ACSM2B,MF,3,2.216711832840501,#fd8d3c,3
GO_Molecular_Function_2021,secondary active transmembrane transporter activity (GO:0015291),5/56,6.23012020676634e-05,0.0045064536162276,0,0,13.386747802569303,129.63097177368175,SLC5A8;SLC22A6;SLCO4C1;SLC5A12;SLC22A11,MF,5,2.346165094656323,#fd8d3c,3
