Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,ontology,gene_count,neglogpadj,color,cluster
GO_Cellular_Component_2021,integral component of plasma membrane (GO:0005887),25/1454,7.944699245168785e-05,0.0085802751847822,0,0,2.578166550034989,24.33897640370745,LPAR1;ADRB1;SLC4A4;TSPAN11;C1QTNF1;FCGR3B;FLRT3;MRC1;SLC16A7;MFSD2A;NTRK2;CR1;KCND3;NPY1R;LIFR;OSMR;SELE;LYVE1;MARCO;GPRC5A;TSPAN13;SLCO2A1;ROR1;TEK;DDR2,CC,25,2.066498783326595,#31a354,1
GO_Biological_Process_2021,cellular transition metal ion homeostasis (GO:0046916),6/96,8.56542785007696e-05,0.0071841491311285,0,0,9.148148148148149,85.67415819037838,MT2A;MT1A;MT1M;MT1G;MT1X;MT1E,BP,6,2.1436246610075176,#2171b5,1
GO_Biological_Process_2021,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193),5/60,8.695897458535434e-05,0.0071841491311285,0,0,12.410658307210031,116.04057488928736,AKAP12;MARCO;GNAL;NPY1R;LPAR1,BP,5,2.1436246610075176,#2171b5,1
GO_Biological_Process_2021,cellular response to metal ion (GO:0071248),7/131,5.956793524562407e-05,0.0058159965867091,0,0,7.787164448454771,75.75659710618223,CRHBP;MT2A;MT1A;MT1M;MT1G;MT1X;MT1E,BP,7,2.2353758570276017,#2171b5,1
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363),8/158,2.586775799901669e-05,0.0027781972090943,0,0,7.39906103286385,78.15268004660908,TMEM100;NTRK2;SFRP1;PDE3A;MT1G;GAS1;SOX6;ADAMTS12,BP,8,2.556236929303384,#2171b5,1
GO_Molecular_Function_2021,G protein-coupled receptor binding (GO:0001664),8/143,1.2555963229101462e-05,0.0022600733812382,0,0,8.227438706311945,92.84923618957428,GNAO1;MARCO;SFRP1;PACRG;GNAL;WNT11;FPR1;SAA1,MF,8,2.6458774597245243,#fd8d3c,1
GO_Biological_Process_2021,negative regulation of growth (GO:0045926),8/126,4.939941163970406e-06,0.0005894996455671351,0,0,9.420864168059202,115.10559877132982,MT2A;SFRP1;MT1A;WNT11;MT1M;MT1G;MT1X;MT1E,BP,8,3.2295164516855737,#2171b5,1
GO_Biological_Process_2021,zinc ion homeostasis (GO:0055069),6/30,8.23777553966826e-08,1.105921366200464e-05,0,0,34.420138888888886,561.4595981533272,MT2A;MT1A;MT1M;MT1G;MT1X;MT1E,BP,6,4.956275751367021,#2171b5,1
GO_Biological_Process_2021,cellular response to cadmium ion (GO:0071276),6/27,4.1835235678004336e-08,1.0173927053672397e-05,0,0,39.34325396825397,668.423271379399,MT2A;MT1A;MT1M;MT1G;MT1X;MT1E,BP,6,4.992511380553801,#2171b5,1
GO_Biological_Process_2021,cellular zinc ion homeostasis (GO:0006882),6/28,5.2916951368864886e-08,1.0173927053672397e-05,0,0,37.55303030303031,629.183827482247,MT2A;MT1A;MT1M;MT1G;MT1X;MT1E,BP,6,4.992511380553801,#2171b5,1
