Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
KEGG_2021_Human,Mineral absorption,6/60,5.772115138862121e-06,0.0007561470831909378,0,0,15.274691358024691,184.2505363477727,MT2A;MT1A;MT1M;MT1G;MT1X;MT1E,C1
KEGG_2021_Human,Malaria,3/50,0.0062631723305451,0.2509996677435384,0,0,8.598784194528875,43.62222089301041,CR1;HBB;SELE,C1
KEGG_2021_Human,Regulation of lipolysis in adipocytes,3/55,0.0081586187638066,0.2509996677435384,0,0,7.770015698587128,37.363522146789634,NPY1R;ADRB1;PTGS2,C1
KEGG_2021_Human,Wnt signaling pathway,5/166,0.0083621046020389,0.2509996677435384,0,0,4.21696294709788,20.174141079605995,SFRP1;WNT11;PRICKLE2;RSPO3;ROR1,C1
KEGG_2021_Human,Calcium signaling pathway,6/240,0.0095801399902113,0.2509996677435384,0,0,3.492877492877493,16.235114897869295,NTRK2;GNAL;CAMK1D;PHKA1;ADRB1;FGF2,C1
KEGG_2021_Human,Leishmaniasis,3/77,0.0201964191724457,0.3963478949557531,0,0,5.453943739658025,21.28265173435831,FCGR3B;CR1;PTGS2,C1
KEGG_2021_Human,Rap1 signaling pathway,5/210,0.0211788951503074,0.3963478949557531,0,0,3.304457527333894,12.737858000237244,GNAO1;LPAR1;FPR1;TEK;FGF2,C1
KEGG_2021_Human,Cell adhesion molecules,4/148,0.0254319472104696,0.4164481355714406,0,0,3.7492389649923896,13.766264911954645,NRXN2;CLDN2;SELE;ITGA9,C1
KEGG_2021_Human,Steroid hormone biosynthesis,12/61,2.5750023352677427e-14,2.6857186749538306e-12,0,0,35.13930789707187,1099.5209217155382,UGT2B10;UGT1A1;AKR1C1;CYP1A1;UGT2B4;UGT2B28;AKR1C2;UGT2A1;AKR1C4;UGT1A9;UGT2B7;UGT1A6,C2
KEGG_2021_Human,Pentose and glucuronate interconversions,10/34,4.670815086876228e-14,2.6857186749538306e-12,0,0,59.00595238095238,1811.1793122973763,UGT2B10;AKR1B10;UGT1A1;DCXR;UGT2B28;UGT2B4;UGT2A1;UGT1A9;UGT2B7;UGT1A6,C2
KEGG_2021_Human,Complement and coagulation cascades,12/85,1.6681833992927386e-12,6.394703030622164e-11,0,0,23.55807027992853,638.878042382639,FGA;CPB2;C8G;PROC;SERPIND1;CFHR2;SERPINC1;C9;FGG;CFHR5;C4BPB;F2,C2
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,11/76,1.0991618395759618e-11,3.1600902887808904e-10,0,0,24.087991145545104,607.8336730625242,UGT2B10;UGT1A1;AKR1C1;GSTA1;CYP1A1;UGT2B4;UGT2B28;UGT2A1;UGT1A9;UGT2B7;UGT1A6,C2
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,9/43,2.6740583490086057e-11,6.150334202719793e-10,0,0,37.201501877346686,905.6645634805258,UGT2B10;UGT1A1;UGT2B28;UGT2B4;UGT2A1;UGT1A9;CP;UGT2B7;UGT1A6,C2
KEGG_2021_Human,Ascorbate and aldarate metabolism,8/30,4.2209046842404317e-11,8.090067311460827e-10,0,0,50.77592829705506,1212.955001971147,UGT2B10;UGT1A1;UGT2B28;UGT2B4;UGT2A1;UGT1A9;UGT2B7;UGT1A6,C2
KEGG_2021_Human,Bile secretion,11/90,7.301358128926957e-11,1.199508835466571e-09,0,0,19.805208997359077,462.26101776621806,UGT2B10;ABCG8;ABCG5;ABCB1;UGT1A1;UGT2B4;UGT2B28;UGT2A1;UGT1A9;UGT2B7;UGT1A6,C2
KEGG_2021_Human,Drug metabolism,11/108,5.396268710615791e-10,7.757136271510202e-09,0,0,16.11533041607951,343.9034587093987,UGT2B10;UGT1A1;DPYS;GSTA1;UGT2B4;UGT2B28;UGT2A1;UGT1A9;UGT2B7;CES1;UGT1A6,C2
KEGG_2021_Human,Mannose type O-glycan biosynthesis,3/23,0.0006559229874805336,0.0937969872097163,0,0,20.23469387755102,148.3095245321269,B3GAT1;CHST10;FUT4,C3
